algorithmid,type,tau,avg,stdev
1,1,0,0,0
1,1,0.2,37.0868615731189,34.8377027522158
1,1,0.25,40.0543252501012,35.7799231267043
1,1,0.333333,42.4630544152162,36.2132265196049
1,1,0.5,45.2116110402492,36.6037387953068
1,1,0.666667,46.2160649441966,36.7602008897836
1,1,0.75,46.1251275604018,36.7687803983198
1,1,0.8,45.0545614122258,36.5293687706545
1,1,1,41.4831862949056,36.999130000988
1,2,0,0,0
1,2,0.2,34.629648189282,36.042449638715
1,2,0.25,37.7959715356758,37.3041145087325
1,2,0.333333,40.5285924566215,38.0872762849935
1,2,0.5,44.0599541512244,39.0804406469728
1,2,0.666667,45.6409829999542,39.6090060234299
1,2,0.75,45.7141456568622,39.8210043067525
1,2,0.8,44.4744611271811,39.6326289820915
1,2,1,39.3493314344805,39.4751311676005
1,3,0,0,0
1,3,0.2,35.7204950852238,33.1192707775211
1,3,0.25,38.6400997917204,34.0723228449626
1,3,0.333333,41.0306569439548,34.5496575180468
1,3,0.5,43.743783694937,34.9947167935987
1,3,0.666667,44.7269371770532,35.1896721622768
1,3,0.75,44.5974565821472,35.1932362515102
1,3,0.8,43.658479138289,35.0346308400003
1,3,1,40.5126296589505,35.8670707619936
1,4,0,0,0
1,4,0.2,31.8350121633238,34.7078803038503
1,4,0.25,34.76364162681,35.9911300933307
1,4,0.333333,37.2953010314801,36.7769230444673
1,4,0.5,40.6688785780755,37.7333237514082
1,4,0.666667,42.4891976733263,38.1626904692227
1,4,0.75,42.8689267294016,38.2767247260497
1,4,0.8,42.0669039930633,38.0189184865386
1,4,1,39.6032069513455,38.0932831240695
2,1,0,41.2785637378679,35.9789551118651
2,1,0.2,41.2886874354112,35.9772788346802
2,1,0.25,41.2946571345384,35.985750145317
2,1,0.333333,41.2971214200746,35.9738980816944
2,1,0.5,41.3107286699409,35.9741554690321
2,1,0.666667,41.3048125829428,35.9696966641522
2,1,0.75,41.3039734235347,35.9671809888807
2,1,0.8,41.2389487366845,35.9413016939918
2,1,1,41.3396384925801,35.9625052437353
2,2,0,42.2120025792326,38.6468657144404
2,2,0.2,42.2917519940403,38.6647930985704
2,2,0.25,42.2950113736587,38.6610503557038
2,2,0.333333,42.3057740334281,38.664319069359
2,2,0.5,42.3122018409194,38.6558773477833
2,2,0.666667,42.3316057867821,38.6591087437227
2,2,0.75,42.3411962709521,38.6554139778568
2,2,0.8,42.2156432315504,38.6167079295447
2,2,1,42.4079069575894,38.6887559484122
2,3,0,39.508935313552,34.0053190250765
2,3,0.2,39.519799894302,34.0090023105848
2,3,0.25,39.5258021972786,34.0096407515257
2,3,0.333333,39.5384612503529,34.0124366700612
2,3,0.5,39.552282546205,34.0155008470882
2,3,0.666667,39.5522692383215,34.0138027012141
2,3,0.75,39.5578429502789,34.0104891037345
2,3,0.8,39.4841784318541,33.9922746389602
2,3,1,39.5930123328426,34.0076635898341
2,4,0,40.1856866191874,37.7351673682404
2,4,0.2,40.2562192852233,37.7530798470053
2,4,0.25,40.2577289940577,37.7410352858355
2,4,0.333333,40.2635543465784,37.7358785809156
2,4,0.5,40.2482281720641,37.7358145948481
2,4,0.666667,40.259671331925,37.7426807603428
2,4,0.75,40.2776158733733,37.7287415177621
2,4,0.8,40.1694024944482,37.7119013096843
2,4,1,40.3993277746508,37.7492931532447
3,1,0,0,0
3,1,0.2,26.660394172336,30.7418496440686
3,1,0.25,28.8254276015718,31.8001465840688
3,1,0.333333,31.3860452040633,32.9890926776151
3,1,0.5,34.6114700206438,34.0410056818227
3,1,0.666667,36.3184663075159,34.5938682337948
3,1,0.75,36.5278654955174,34.7116026599765
3,1,0.8,36.5992150486665,34.7022623015319
3,1,1,34.2121588766484,34.5613417309467
3,2,0,0,0
3,2,0.2,23.6188463337623,30.9362936654178
3,2,0.25,25.9104291992792,32.2475460860387
3,2,0.333333,28.5696672365802,33.9507714780832
3,2,0.5,32.2679714180538,35.7613953536353
3,2,0.666667,34.4018302831079,36.8449548000207
3,2,0.75,34.9218406849101,37.1274825764093
3,2,0.8,34.8667080678925,37.1131697632858
3,2,1,31.1208691865927,36.167637758628
3,3,0,0,0
3,3,0.2,25.8126933502121,29.3819800944136
3,3,0.25,28.1053247607181,30.4974820502805
3,3,0.333333,30.4689369158415,31.4694800768982
3,3,0.5,33.6520930877079,32.6074494835324
3,3,0.666667,35.0769507436396,32.976141207321
3,3,0.75,35.2165893821255,32.918996228333
3,3,0.8,35.1437105303142,32.929009978431
3,3,1,32.7967672340117,32.9598931762639
3,4,0,0,0
3,4,0.2,19.278158608067,27.6471042670277
3,4,0.25,21.2315493193683,29.0988468584511
3,4,0.333333,24.0717609410778,31.0823134015422
3,4,0.5,27.6471963215071,33.1114923685805
3,4,0.666667,29.7723564201024,34.2053984061035
3,4,0.75,30.4210792757147,34.4715566710418
3,4,0.8,30.5185565920805,34.4914529141891
3,4,1,29.0629050061457,34.0362765042351
