algorithmid,r,tau,avg,stdev
1,0,0,0,0
1,0,0.2,0,0
1,0,0.25,0,0
1,0,0.333333,0,0
1,0,0.5,0,0
1,0,0.666667,0,0
1,0,0.75,0,0
1,0,0.8,0,0
1,0,1,0,0
1,0.2,0,0,0
1,0.2,0.2,46.4234401273284,37.5553263831923
1,0.2,0.25,48.703017277687,37.9599173676985
1,0.2,0.333333,50.3386541427444,38.1477478549823
1,0.2,0.5,51.133906969422,38.5424011771526
1,0.2,0.666667,49.9231877313465,38.9524422379777
1,0.2,0.75,48.9181536858221,39.1089906672626
1,0.2,0.8,47.4938970879666,39.0680999729059
1,0.2,1,37.3190860501902,39.0511121010075
1,0.25,0,0,0
1,0.25,0.2,45.1428210366092,36.9662139040663
1,0.25,0.25,47.8319867360156,37.4189663896828
1,0.25,0.333333,49.7304911093417,37.5067267897299
1,0.25,0.5,50.8725875342621,37.6694525554215
1,0.25,0.666667,49.9151098553309,37.9928484775094
1,0.25,0.75,48.9196489119706,38.2145367467749
1,0.25,0.8,47.4606762323959,38.2004958102915
1,0.25,1,38.5844685218663,39.0674697717462
1,0.333333,0,0,0
1,0.333333,0.2,43.7489481990388,35.8096897869584
1,0.333333,0.25,47.0401614089271,36.4027687515034
1,0.333333,0.333333,49.6188021777653,36.4973702488942
1,0.333333,0.5,51.7417510975079,36.4121194980424
1,0.333333,0.666667,51.4130774245344,36.5036142490911
1,0.333333,0.75,50.6679429677822,36.6892190210518
1,0.333333,0.8,49.0810073140094,36.5810701535282
1,0.333333,1,41.4600433643052,37.6285328647201
1,0.5,0,0,0
1,0.5,0.2,39.3434796226985,34.3625568071175
1,0.5,0.25,42.986811268609,35.2793504489804
1,0.5,0.333333,46.1184055806608,35.6076939064003
1,0.5,0.5,50.1294183341334,36.0551133791058
1,0.5,0.666667,51.1249127965643,36.0916377238716
1,0.5,0.75,50.6966081973771,36.1363414226373
1,0.5,0.8,49.2928749233674,36.0175203179186
1,0.5,1,43.9035078355864,36.848837790957
1,0.666667,0,0,0
1,0.666667,0.2,36.5205856987747,32.7541581390722
1,0.666667,0.25,40.2470654717615,33.8842540160101
1,0.666667,0.333333,43.5171196189144,34.390686877775
1,0.666667,0.5,48.1912312321486,34.9256355560863
1,0.666667,0.666667,50.9485044441667,35.1318895048602
1,0.666667,0.75,51.2914508424992,35.0847166835877
1,0.666667,0.8,50.1957154324034,35.014339830511
1,0.666667,1,47.0715703473472,35.5573930453372
1,0.75,0,0,0
1,0.75,0.2,35.1968390872279,32.4763585611913
1,0.75,0.25,39.0287267898066,33.746940956695
1,0.75,0.333333,42.4385826058158,34.3928612456277
1,0.75,0.5,47.4161265052724,35.0111925935101
1,0.75,0.666667,50.8186479940229,35.2515143492435
1,0.75,0.75,51.6948468972045,35.291253396486
1,0.75,0.8,50.7732918762329,35.2098240000501
1,0.75,1,49.5644363845332,35.5868684451957
1,0.8,0,0,0
1,0.8,0.2,35.3489085550104,31.660372282253
1,0.8,0.25,39.1310576358461,32.8149102232175
1,0.8,0.333333,42.5219038646734,33.4035447981408
1,0.8,0.5,47.5639359083502,34.0146911450927
1,0.8,0.666667,51.1615071890294,34.2243027205466
1,0.8,0.75,52.2226718166436,34.2872159442569
1,0.8,0.8,51.4020004155283,34.194730002677
1,0.8,1,51.5670574289671,34.7287748368026
1,1,0,0,0
1,1,0.2,31.6370159479468,30.4689101570149
1,1,0.25,35.352759371039,31.9579740555444
1,1,0.333333,38.6806518064482,32.7934687091714
1,1,0.5,43.7405542139973,33.6433347579016
1,1,0.666667,47.6097138526979,33.7928988799677
1,1,0.75,49.0264038705297,33.7737915418343
1,1,0.8,48.6229494773042,33.6407598009008
1,1,1,52.6636273314893,33.5934744352634
2,0,0,0,0
2,0,0.2,0,0
2,0,0.25,0,0
2,0,0.333333,0,0
2,0,0.5,0,0
2,0,0.666667,0,0
2,0,0.75,0,0
2,0,0.8,0,0
2,0,1,0,0
2,0.2,0,45.6118402504927,38.2592198693009
2,0.2,0.2,45.6572692466139,38.2634016435751
2,0.2,0.25,45.7071806835941,38.2867143371552
2,0.2,0.333333,45.6999656951139,38.2799820530444
2,0.2,0.5,45.6813598794938,38.2714151072955
2,0.2,0.666667,45.6858549327847,38.2876826141325
2,0.2,0.75,45.7053224970765,38.2799499023085
2,0.2,0.8,45.7111304411478,38.2977651255793
2,0.2,1,45.8227107658712,38.3028262018089
2,0.25,0,45.7826941159509,37.6825747171365
2,0.25,0.2,45.8533745477018,37.7042611697477
2,0.25,0.25,45.8639759894392,37.6761159100967
2,0.25,0.333333,45.8803007663597,37.6835685931808
2,0.25,0.5,45.8634873746702,37.6915083761445
2,0.25,0.666667,45.8380152847102,37.6864936302145
2,0.25,0.75,45.8595267617387,37.6739251060016
2,0.25,0.8,44.98310661498,37.5512721158482
2,0.25,1,45.9952340821109,37.7333490613553
2,0.333333,0,46.2726238179521,36.1521475744599
2,0.333333,0.2,46.373072034307,36.1848003876843
2,0.333333,0.25,46.3548719045473,36.1655350501555
2,0.333333,0.333333,46.3596306433716,36.1728984825256
2,0.333333,0.5,46.3688900370826,36.1903146354094
2,0.333333,0.666667,46.3824862949817,36.1942498648604
2,0.333333,0.75,46.3832819620966,36.1767834435602
2,0.333333,0.8,46.3833334090628,36.1581553725748
2,0.333333,1,46.490527687628,36.1652612496733
2,0.5,0,45.0226884206145,35.7241990469348
2,0.5,0.2,45.0583747673736,35.7173798670504
