#iteration	tau
0	0
200	0.862
400	0.999
600	0.999333333
800	0.997
1000	0.993666667
1200	0.989333333
1400	0.982666667
1600	0.975
1800	0.971666667
2000	0.960333333
2200	0.955
2400	0.950333333
2600	0.932
2800	0.936666667
3000	0.917333333
3200	0.904666667
3400	0.890666667
3600	0.884
3800	0.880666667
4000	0.873
4200	0.860333333
4400	0.854666667
4600	0.851666667
4800	0.854
5000	0.847333333
5200	0.850333333
5400	0.837333333
5600	0.830666667
5800	0.814
6000	0.821333333
6200	0.816
6400	0.809
6600	0.807333333
6800	0.802666667
7000	0.785
7200	0.785333333
7400	0.776666667
7600	0.776
7800	0.775333333
8000	0.766333333
8200	0.753
8400	0.755333333
8600	0.75
8800	0.751666667
9000	0.751333333
9200	0.746333333
9400	0.752
9600	0.757
9800	0.752
10000	0.740333333
